,Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
7500,United States of America,Sierra Leone,2012,1,"(-11.779889, 8.460555)",
7501,United States of America,Somalia,2012,5891,"(46.199616, 5.152149)",
7502,United States of America,South Africa,2012,1,"(22.937506, -30.559482)",
7503,United States of America,South Sudan,2012,2,,
7504,United States of America,Sri Lanka,2012,52,"(80.771797, 7.873054)",
7505,United States of America,Sudan,2012,1529,"(30.217636, 12.862807)",
7506,United States of America,Syrian Arab Rep.,2012,41,,
7507,United States of America,Thailand,2012,3,"(100.992541, 15.870032)",
7508,United States of America,Togo,2012,23,"(0.824782, 8.619543)",
7509,United States of America,Tunisia,2012,1,"(9.537499, 33.886917)",
7510,United States of America,Uganda,2012,20,"(32.290275, 1.373333)",
7511,United States of America,Ukraine,2012,346,"(31.16558, 48.379433)",
7512,United States of America,Uzbekistan,2012,139,"(64.585262, 41.377491)",
7513,United States of America,Venezuela (Bolivarian Republic of),2012,7,,
7514,United States of America,Viet Nam,2012,87,,
7515,United States of America,Yemen,2012,7,"(48.516388, 15.552727)",
7516,United States of America,Zambia,2012,2,"(27.849332, -13.133897)",
7518,Uruguay,Venezuela (Bolivarian Republic of),2012,2,,"(-55.765835, -32.522779)"
7526,Australia,Congo,2013,15,,"(133.775136, -25.274398)"
7527,Australia,Dem. Rep. of the Congo,2013,444,,"(133.775136, -25.274398)"
7535,Australia,Iran (Islamic Rep. of),2013,1241,,"(133.775136, -25.274398)"
7544,Australia,Myanmar,2013,1725,,"(133.775136, -25.274398)"
7553,Australia,Syrian Arab Rep.,2013,141,,"(133.775136, -25.274398)"
7556,Australia,United Rep. of Tanzania,2013,11,,"(133.775136, -25.274398)"
7560,Belgium,Dem. Rep. of the Congo,2013,65,,"(4.469936, 50.503887)"
7561,Belgium,Iran (Islamic Rep. of),2013,1,,"(4.469936, 50.503887)"
7563,Belgium,United Rep. of Tanzania,2013,31,,"(4.469936, 50.503887)"
7566,Brazil,Venezuela (Bolivarian Republic of),2013,1,,"(-51.92528, -14.235004)"
7575,Canada,Central African Rep.,2013,148,,"(-106.346771, 56.130366)"
7579,Canada,Congo,2013,3,,"(-106.346771, 56.130366)"
7581,Canada,Dem. Rep. of the Congo,2013,1323,,"(-106.346771, 56.130366)"
7583,Canada,Dominican Rep.,2013,1,,"(-106.346771, 56.130366)"
7594,Canada,Iran (Islamic Rep. of),2013,677,,"(-106.346771, 56.130366)"
7607,Canada,Myanmar,2013,215,,"(-106.346771, 56.130366)"
7612,Canada,Palestinian,2013,16,,"(-106.346771, 56.130366)"
7613,Canada,Russian Federation,2013,1,,"(-106.346771, 56.130366)"
7620,Canada,Stateless,2013,62,,"(-106.346771, 56.130366)"
7622,Canada,Syrian Arab Rep.,2013,45,,"(-106.346771, 56.130366)"
7629,Canada,United Rep. of Tanzania,2013,1,,"(-106.346771, 56.130366)"
7630,Canada,United States of America,2013,1,,"(-106.346771, 56.130366)"
7631,Canada,Various/unknown,2013,27,,"(-106.346771, 56.130366)"
7632,Canada,Venezuela (Bolivarian Republic of),2013,1,,"(-106.346771, 56.130366)"
7636,Czech Rep.,Sri Lanka,2013,1,"(80.771797, 7.873054)",
7641,Denmark,Dem. Rep. of the Congo,2013,142,,"(9.501785, 56.26392)"
7644,Denmark,Iran (Islamic Rep. of),2013,1,,"(9.501785, 56.26392)"
7645,Denmark,Russian Federation,2013,1,,"(9.501785, 56.26392)"
7648,Denmark,Stateless,2013,119,,"(9.501785, 56.26392)"
7650,Denmark,Syrian Arab Rep.,2013,1,,"(9.501785, 56.26392)"
7654,Finland,Dem. Rep. of the Congo,2013,59,,"(25.748151, 61.92411)"
7657,Finland,Iran (Islamic Rep. of),2013,86,,"(25.748151, 61.92411)"
7660,Finland,Myanmar,2013,105,,"(25.748151, 61.92411)"
7662,Finland,Russian Federation,2013,2,,"(25.748151, 61.92411)"
7666,Finland,Stateless,2013,14,,"(25.748151, 61.92411)"
7667,Finland,Various/unknown,2013,1,,"(25.748151, 61.92411)"
7672,France,Central African Rep.,2013,1,,"(2.213749, 46.227638)"
7674,France,Dem. Rep. of the Congo,2013,20,,"(2.213749, 46.227638)"
7678,France,Iran (Islamic Rep. of),2013,1,,"(2.213749, 46.227638)"
7681,France,Russian Federation,2013,4,,"(2.213749, 46.227638)"
7686,France,United Rep. of Tanzania,2013,1,,"(2.213749, 46.227638)"
7688,Germany,Iran (Islamic Rep. of),2013,116,,"(10.451526, 51.165691)"
7690,Germany,Syrian Arab Rep.,2013,2,,"(10.451526, 51.165691)"
7691,Hungary,Syrian Arab Rep.,2013,1,,"(19.503304, 47.162494)"
7693,Ireland,Dem. Rep. of the Congo,2013,31,,"(-8.24389, 53.41291)"
7694,Ireland,Palestinian,2013,4,,"(-8.24389, 53.41291)"
7697,Japan,Myanmar,2013,18,,"(138.252924, 36.204824)"
7701,Netherlands,Congo,2013,84,,"(5.291266, 52.132633)"
7705,Netherlands,Lao People's Dem. Rep.,2013,1,,"(5.291266, 52.132633)"
7706,Netherlands,Myanmar,2013,30,,"(5.291266, 52.132633)"
7708,Netherlands,Russian Federation,2013,1,,"(5.291266, 52.132633)"
7713,Netherlands,Syrian Arab Rep.,2013,14,,"(5.291266, 52.132633)"
7720,New Zealand,Dem. Rep. of the Congo,2013,5,,"(174.885971, -40.900557)"
7725,New Zealand,Iran (Islamic Rep. of),2013,5,,"(174.885971, -40.900557)"
7727,New Zealand,Myanmar,2013,246,,"(174.885971, -40.900557)"
7729,New Zealand,Palestinian,2013,24,,"(174.885971, -40.900557)"
7736,Norway,Congo,2013,200,,"(8.468946, 60.472024)"
7741,Norway,Iran (Islamic Rep. of),2013,121,,"(8.468946, 60.472024)"
7742,Norway,Myanmar,2013,13,,"(8.468946, 60.472024)"
7746,Norway,Stateless,2013,4,,"(8.468946, 60.472024)"
7748,Norway,Syrian Arab Rep.,2013,2,,"(8.468946, 60.472024)"
7750,Norway,Viet Nam,2013,1,,"(8.468946, 60.472024)"
7752,Philippines,Palestinian,2013,3,,"(121.774017, 12.879721)"
7755,Philippines,Syrian Arab Rep.,2013,1,,"(121.774017, 12.879721)"
7756,Portugal,Iran (Islamic Rep. of),2013,2,,"(-8.224454, 39.399872)"
7762,Sweden,Central African Rep.,2013,3,,"(18.643501, 60.128161)"
7766,Sweden,Dem. Rep. of the Congo,2013,158,,"(18.643501, 60.128161)"
7769,Sweden,Iran (Islamic Rep. of),2013,9,,"(18.643501, 60.128161)"
7773,Sweden,Myanmar,2013,10,,"(18.643501, 60.128161)"
7777,Sweden,Russian Federation,2013,2,,"(18.643501, 60.128161)"
7781,Sweden,South Sudan,2013,2,,"(18.643501, 60.128161)"
7783,Sweden,Stateless,2013,35,,"(18.643501, 60.128161)"
7785,Sweden,Syrian Arab Rep.,2013,362,,"(18.643501, 60.128161)"
7788,Sweden,Various/unknown,2013,2,,"(18.643501, 60.128161)"
7789,United Kingdom of Great Britain and Northern Ireland,Bhutan,2013,101,"(90.433601, 27.514162)",
7790,United Kingdom of Great Britain and Northern Ireland,Congo,2013,208,,
7791,United Kingdom of Great Britain and Northern Ireland,Eritrea,2013,4,"(39.782334, 15.179384)",
7792,United Kingdom of Great Britain and Northern Ireland,Ethiopia,2013,34,"(40.489673, 9.145)",
7793,United Kingdom of Great Britain and Northern Ireland,Iran (Islamic Rep. of),2013,5,,
7794,United Kingdom of Great Britain and Northern Ireland,Iraq,2013,132,"(43.679291, 33.223191)",
7795,United Kingdom of Great Britain and Northern Ireland,Pakistan,2013,1,"(69.345116, 30.375321)",
7796,United Kingdom of Great Britain and Northern Ireland,Rwanda,2013,1,"(29.873888, -1.940278)",
7797,United Kingdom of Great Britain and Northern Ireland,Somalia,2013,321,"(46.199616, 5.152149)",
7798,United Kingdom of Great Britain and Northern Ireland,Stateless,2013,1,,
7799,United Kingdom of Great Britain and Northern Ireland,Sudan,2013,158,"(30.217636, 12.862807)",
7800,United States of America,Afghanistan,2013,678,"(67.709953, 33.93911)",
7801,United States of America,Algeria,2013,2,"(1.659626, 28.033886)",
7802,United States of America,Angola,2013,6,"(17.873887, -11.202692)",
7803,United States of America,Armenia,2013,3,"(45.038189, 40.069099)",
7804,United States of America,Azerbaijan,2013,3,"(47.576927, 40.143105)",
7805,United States of America,Bangladesh,2013,1,"(90.356331, 23.684994)",
7806,United States of America,Belgium,2013,10,"(4.469936, 50.503887)",
7807,United States of America,Bhutan,2013,9051,"(90.433601, 27.514162)",
7808,United States of America,Bulgaria,2013,1,"(25.48583, 42.733883)",
7809,United States of America,Burundi,2013,166,"(29.918886, -3.373056)",
7810,United States of America,Côte d'Ivoire,2013,29,"(-5.54708, 7.539989)",
7811,United States of America,Cambodia,2013,42,"(104.990963, 12.565679)",
7812,United States of America,Central African Rep.,2013,316,,
7813,United States of America,Chad,2013,28,"(18.732207, 15.454166)",
7814,United States of America,China,2013,97,"(104.195397, 35.86166)",
7815,United States of America,Colombia,2013,186,"(-74.297333, 4.570868)",
7816,United States of America,Congo,2013,117,,
7817,United States of America,Cuba,2013,4101,"(-77.781167, 21.521757)",
7818,United States of America,Dem. People's Rep. of Korea,2013,14,,
7819,United States of America,Dem. Rep. of the Congo,2013,2623,,
7820,United States of America,Egypt,2013,13,"(30.802498, 26.820553)",
7821,United States of America,Eritrea,2013,1418,"(39.782334, 15.179384)",
7822,United States of America,Ethiopia,2013,672,"(40.489673, 9.145)",
7823,United States of America,Gambia,2013,9,"(-15.310139, 13.443182)",
7824,United States of America,Georgia,2013,1,"(43.356892, 42.315407)",
7825,United States of America,Guinea,2013,8,"(-9.696645, 9.945587)",
7826,United States of America,India,2013,11,"(78.96288, 20.593684)",
7827,United States of America,Indonesia,2013,6,"(113.921327, -0.789275)",
7828,United States of America,Iran (Islamic Rep. of),2013,2535,,
7829,United States of America,Iraq,2013,18567,"(43.679291, 33.223191)",
7830,United States of America,Jordan,2013,63,"(36.238414, 30.585164)",
7831,United States of America,Kazakhstan,2013,5,"(66.923684, 48.019573)",
7832,United States of America,Kenya,2013,8,"(37.906193, -0.023559)",
7833,United States of America,Kuwait,2013,11,"(47.481766, 29.31166)",
7834,United States of America,Kyrgyzstan,2013,7,"(74.766098, 41.20438)",
7835,United States of America,Lebanon,2013,4,"(35.862285, 33.854721)",
7836,United States of America,Liberia,2013,81,"(-9.429499, 6.428055)",
7837,United States of America,Libya,2013,1,"(17.228331, 26.3351)",
7838,United States of America,Mali,2013,1,"(-3.996166, 17.570692)",
7839,United States of America,Morocco,2013,1,"(-7.09262, 31.791702)",
7840,United States of America,Myanmar,2013,14580,,
7841,United States of America,Nepal,2013,101,"(84.124008, 28.394857)",
7842,United States of America,Nigeria,2013,6,"(8.675277, 9.081999)",
7843,United States of America,Pakistan,2013,159,"(69.345116, 30.375321)",
7844,United States of America,Palestinian,2013,162,,
7845,United States of America,Philippines,2013,1,"(121.774017, 12.879721)",
7846,United States of America,Rep. of Moldova,2013,75,,
7847,United States of America,Russian Federation,2013,93,,
7848,United States of America,Rwanda,2013,125,"(29.873888, -1.940278)",
7849,United States of America,Senegal,2013,2,"(-14.452362, 14.497401)",
7850,United States of America,Sierra Leone,2013,3,"(-11.779889, 8.460555)",
7851,United States of America,Somalia,2013,7450,"(46.199616, 5.152149)",
7852,United States of America,South Sudan,2013,34,,
7853,United States of America,Sri Lanka,2013,88,"(80.771797, 7.873054)",
7854,United States of America,Sudan,2013,2044,"(30.217636, 12.862807)",
7855,United States of America,Syrian Arab Rep.,2013,45,,
7856,United States of America,Tajikistan,2013,4,"(71.276093, 38.861034)",
7857,United States of America,Thailand,2013,4,"(100.992541, 15.870032)",
7858,United States of America,Togo,2013,15,"(0.824782, 8.619543)",
7859,United States of America,Tunisia,2013,1,"(9.537499, 33.886917)",
7860,United States of America,Turkmenistan,2013,8,"(59.556278, 38.969719)",
7861,United States of America,Uganda,2013,9,"(32.290275, 1.373333)",
7862,United States of America,Ukraine,2013,209,"(31.16558, 48.379433)",
7863,United States of America,United Rep. of Tanzania,2013,1,,
7864,United States of America,Uzbekistan,2013,39,"(64.585262, 41.377491)",
7865,United States of America,Various/unknown,2013,15,,
7866,United States of America,Viet Nam,2013,63,,
7867,United States of America,Yemen,2013,5,"(48.516388, 15.552727)",
7868,United States of America,Zimbabwe,2013,12,"(29.154857, -19.015438)",
7879,Australia,Congo,2014,3,,"(133.775136, -25.274398)"
7880,Australia,Dem. Rep. of the Congo,2014,216,,"(133.775136, -25.274398)"
7889,Australia,Iran (Islamic Rep. of),2014,739,,"(133.775136, -25.274398)"
7899,Australia,Myanmar,2014,1292,,"(133.775136, -25.274398)"
7902,Australia,Palestinian,2014,4,,"(133.775136, -25.274398)"
7908,Australia,South Sudan,2014,115,,"(133.775136, -25.274398)"
7911,Australia,Syrian Arab Rep.,2014,1820,,"(133.775136, -25.274398)"
7913,Australia,Tibetan,2014,109,,"(133.775136, -25.274398)"
7918,Australia,United Rep. of Tanzania,2014,9,,"(133.775136, -25.274398)"
7919,Australia,Venezuela (Bolivarian Republic of),2014,1,,"(133.775136, -25.274398)"
7920,Australia,Viet Nam,2014,1,,"(133.775136, -25.274398)"
7923,Austria,Syrian Arab Rep.,2014,388,,"(14.550072, 47.516231)"
7924,Belgium,Dem. Rep. of the Congo,2014,6,,"(4.469936, 50.503887)"
7925,Belgium,Syrian Arab Rep.,2014,28,,"(4.469936, 50.503887)"
7928,Brazil,Syrian Arab Rep.,2014,1,,"(-51.92528, -14.235004)"
7936,Canada,Central African Rep.,2014,109,,"(-106.346771, 56.130366)"
7940,Canada,Congo,2014,2,,"(-106.346771, 56.130366)"
7942,Canada,Dem. Rep. of the Congo,2014,1066,,"(-106.346771, 56.130366)"
7952,Canada,Iran (Islamic Rep. of),2014,1080,,"(-106.346771, 56.130366)"
7965,Canada,Myanmar,2014,388,,"(-106.346771, 56.130366)"
7969,Canada,Palestinian,2014,24,,"(-106.346771, 56.130366)"
7971,Canada,Russian Federation,2014,7,,"(-106.346771, 56.130366)"
7976,Canada,Serbia and Kosovo: S/RES/1244 (1999),2014,10,,"(-106.346771, 56.130366)"
7980,Canada,South Sudan,2014,21,,"(-106.346771, 56.130366)"
7982,Canada,Stateless,2014,193,,"(-106.346771, 56.130366)"
7984,Canada,Syrian Arab Rep.,2014,1083,,"(-106.346771, 56.130366)"
7988,Canada,United Kingdom of Great Britain and Northern Ireland,2014,2,,"(-106.346771, 56.130366)"
7989,Canada,United Rep. of Tanzania,2014,1,,"(-106.346771, 56.130366)"
7992,Canada,Viet Nam,2014,27,,"(-106.346771, 56.130366)"
7996,Czech Rep.,China,2014,4,"(104.195397, 35.86166)",
7997,Czech Rep.,Sri Lanka,2014,1,"(80.771797, 7.873054)",
8000,Denmark,Central African Rep.,2014,12,,"(9.501785, 56.26392)"
8002,Denmark,Congo,2014,31,,"(9.501785, 56.26392)"
8007,Denmark,Stateless,2014,8,,"(9.501785, 56.26392)"
8009,Denmark,Syrian Arab Rep.,2014,124,,"(9.501785, 56.26392)"
8010,Denmark,Viet Nam,2014,3,,"(9.501785, 56.26392)"
8014,Finland,Dem. People's Rep. of Korea,2014,2,,"(25.748151, 61.92411)"
8015,Finland,Dem. Rep. of the Congo,2014,189,,"(25.748151, 61.92411)"
8018,Finland,Iran (Islamic Rep. of),2014,85,,"(25.748151, 61.92411)"
8023,Finland,Stateless,2014,8,,"(25.748151, 61.92411)"
8025,Finland,Syrian Arab Rep.,2014,431,,"(25.748151, 61.92411)"
8026,Finland,Various/unknown,2014,15,,"(25.748151, 61.92411)"
8030,France,Central African Rep.,2014,1,,"(2.213749, 46.227638)"
8032,France,Congo,2014,1,,"(2.213749, 46.227638)"
8033,France,Dem. Rep. of the Congo,2014,12,,"(2.213749, 46.227638)"
8035,France,Iran (Islamic Rep. of),2014,1,,"(2.213749, 46.227638)"
8039,France,Palestinian,2014,3,,"(2.213749, 46.227638)"
8040,France,Russian Federation,2014,3,,"(2.213749, 46.227638)"
8045,France,Syrian Arab Rep.,2014,40,,"(2.213749, 46.227638)"
8049,Germany,Iran (Islamic Rep. of),2014,6,,"(10.451526, 51.165691)"
8052,Germany,South Sudan,2014,1,,"(10.451526, 51.165691)"
8054,Germany,Stateless,2014,58,,"(10.451526, 51.165691)"
8056,Ireland,Dem. Rep. of the Congo,2014,7,,"(-8.24389, 53.41291)"
8057,Ireland,Syrian Arab Rep.,2014,89,,"(-8.24389, 53.41291)"
8058,Japan,Myanmar,2014,23,,"(138.252924, 36.204824)"
8059,Liechtenstein,Syrian Arab Rep.,2014,5,,"(9.555373, 47.166)"
8060,Luxembourg,Syrian Arab Rep.,2014,28,,"(6.129583, 49.815273)"
8065,Netherlands,Congo,2014,13,,"(5.291266, 52.132633)"
8067,Netherlands,Dem. Rep. of the Congo,2014,27,,"(5.291266, 52.132633)"
8070,Netherlands,Iran (Islamic Rep. of),2014,7,,"(5.291266, 52.132633)"
8073,Netherlands,Myanmar,2014,2,,"(5.291266, 52.132633)"
8075,Netherlands,Palestinian,2014,1,,"(5.291266, 52.132633)"
8076,Netherlands,Russian Federation,2014,1,,"(5.291266, 52.132633)"
8079,Netherlands,South Sudan,2014,8,,"(5.291266, 52.132633)"
8081,Netherlands,Stateless,2014,9,,"(5.291266, 52.132633)"
8082,Netherlands,Syrian Arab Rep.,2014,243,,"(5.291266, 52.132633)"
8084,Netherlands,Various/unknown,2014,68,,"(5.291266, 52.132633)"
8085,Netherlands,Viet Nam,2014,8,,"(5.291266, 52.132633)"
8090,New Zealand,Dem. Rep. of the Congo,2014,4,,"(174.885971, -40.900557)"
8095,New Zealand,Iran (Islamic Rep. of),2014,8,,"(174.885971, -40.900557)"
8098,New Zealand,Myanmar,2014,177,,"(174.885971, -40.900557)"
8100,New Zealand,Palestinian,2014,18,,"(174.885971, -40.900557)"
8103,New Zealand,Stateless,2014,4,,"(174.885971, -40.900557)"
8105,New Zealand,Syrian Arab Rep.,2014,14,,"(174.885971, -40.900557)"
8109,Norway,Congo,2014,78,,"(8.468946, 60.472024)"
8113,Norway,Iran (Islamic Rep. of),2014,21,,"(8.468946, 60.472024)"
8119,Norway,Stateless,2014,12,,"(8.468946, 60.472024)"
8121,Norway,Syrian Arab Rep.,2014,785,,"(8.468946, 60.472024)"
8125,Philippines,Palestinian,2014,13,,"(121.774017, 12.879721)"
8126,Philippines,Stateless,2014,9,,"(121.774017, 12.879721)"
8127,Philippines,Syrian Arab Rep.,2014,4,,"(121.774017, 12.879721)"
8129,Philippines,Viet Nam,2014,12,,"(121.774017, 12.879721)"
8132,Portugal,Dem. Rep. of the Congo,2014,2,,"(-8.224454, 39.399872)"
8133,Portugal,Iran (Islamic Rep. of),2014,2,,"(-8.224454, 39.399872)"
8139,Sweden,Central African Rep.,2014,9,,"(18.643501, 60.128161)"
8142,Sweden,Congo,2014,3,,"(18.643501, 60.128161)"
8143,Sweden,Dem. Rep. of the Congo,2014,226,,"(18.643501, 60.128161)"
8150,Sweden,Iran (Islamic Rep. of),2014,8,,"(18.643501, 60.128161)"
8155,Sweden,South Sudan,2014,6,,"(18.643501, 60.128161)"
8156,Sweden,Stateless,2014,77,,"(18.643501, 60.128161)"
8158,Sweden,Syrian Arab Rep.,2014,714,,"(18.643501, 60.128161)"
8162,Switzerland,Dem. Rep. of the Congo,2014,7,,"(8.227512, 46.818188)"
8165,Switzerland,Syrian Arab Rep.,2014,113,,"(8.227512, 46.818188)"
8166,Switzerland,Various/unknown,2014,22,,"(8.227512, 46.818188)"
8167,United Kingdom of Great Britain and Northern Ireland,Dem. Rep. of the Congo,2014,202,,
8168,United Kingdom of Great Britain and Northern Ireland,Eritrea,2014,3,"(39.782334, 15.179384)",
8169,United Kingdom of Great Britain and Northern Ireland,Ethiopia,2014,79,"(40.489673, 9.145)",
8170,United Kingdom of Great Britain and Northern Ireland,Iraq,2014,113,"(43.679291, 33.223191)",
8171,United Kingdom of Great Britain and Northern Ireland,Palestinian,2014,1,,
8172,United Kingdom of Great Britain and Northern Ireland,Somalia,2014,240,"(46.199616, 5.152149)",
8173,United Kingdom of Great Britain and Northern Ireland,Sudan,2014,4,"(30.217636, 12.862807)",
8174,United Kingdom of Great Britain and Northern Ireland,Syrian Arab Rep.,2014,143,,
8175,United Kingdom of Great Britain and Northern Ireland,Various/unknown,2014,2,,
8176,United States of America,Afghanistan,2014,696,"(67.709953, 33.93911)",
8177,United States of America,Armenia,2014,45,"(45.038189, 40.069099)",
8178,United States of America,Azerbaijan,2014,21,"(47.576927, 40.143105)",
8179,United States of America,Bangladesh,2014,2,"(90.356331, 23.684994)",
8180,United States of America,Belarus,2014,60,"(27.953389, 53.709807)",
8181,United States of America,Bhutan,2014,7476,"(90.433601, 27.514162)",
8182,United States of America,Burundi,2014,133,"(29.918886, -3.373056)",
8183,United States of America,Côte d'Ivoire,2014,39,"(-5.54708, 7.539989)",
8184,United States of America,Cambodia,2014,34,"(104.990963, 12.565679)",
8185,United States of America,Cameroon,2014,9,"(12.354722, 7.369722)",
8186,United States of America,Central African Rep.,2014,200,,
8187,United States of America,Chad,2014,31,"(18.732207, 15.454166)",
8188,United States of America,China,2014,50,"(104.195397, 35.86166)",
8189,United States of America,Colombia,2014,461,"(-74.297333, 4.570868)",
8190,United States of America,Congo,2014,58,,
8191,United States of America,Cuba,2014,3703,"(-77.781167, 21.521757)",
8192,United States of America,Dem. People's Rep. of Korea,2014,15,,
8193,United States of America,Dem. Rep. of the Congo,2014,5128,,
8194,United States of America,Ecuador,2014,23,"(-78.183406, -1.831239)",
8195,United States of America,Egypt,2014,17,"(30.802498, 26.820553)",
8196,United States of America,Eritrea,2014,1409,"(39.782334, 15.179384)",
8197,United States of America,Ethiopia,2014,687,"(40.489673, 9.145)",
8198,United States of America,Gabon,2014,3,"(11.609444, -0.803689)",
8199,United States of America,Gambia,2014,1,"(-15.310139, 13.443182)",
8200,United States of America,Georgia,2014,15,"(43.356892, 42.315407)",
8201,United States of America,Ghana,2014,2,"(-1.023194, 7.946527)",
8202,United States of America,Guinea,2014,10,"(-9.696645, 9.945587)",
8203,United States of America,Haiti,2014,4,"(-72.285215, 18.971187)",
8204,United States of America,India,2014,23,"(78.96288, 20.593684)",
8205,United States of America,Indonesia,2014,18,"(113.921327, -0.789275)",
8206,United States of America,Iran (Islamic Rep. of),2014,2830,,
8207,United States of America,Iraq,2014,20337,"(43.679291, 33.223191)",
8208,United States of America,Jordan,2014,25,"(36.238414, 30.585164)",
8209,United States of America,Kazakhstan,2014,46,"(66.923684, 48.019573)",
8210,United States of America,Kenya,2014,17,"(37.906193, -0.023559)",
8211,United States of America,Kuwait,2014,15,"(47.481766, 29.31166)",
8212,United States of America,Kyrgyzstan,2014,17,"(74.766098, 41.20438)",
8213,United States of America,Lao People's Dem. Rep.,2014,2,,
8214,United States of America,Lebanon,2014,7,"(35.862285, 33.854721)",
8215,United States of America,Liberia,2014,28,"(-9.429499, 6.428055)",
8216,United States of America,Libya,2014,1,"(17.228331, 26.3351)",
8217,United States of America,Mali,2014,2,"(-3.996166, 17.570692)",
8218,United States of America,Mauritania,2014,4,"(-10.940835, 21.00789)",
8219,United States of America,Morocco,2014,1,"(-7.09262, 31.791702)",
8220,United States of America,Myanmar,2014,15971,,
8221,United States of America,Nepal,2014,126,"(84.124008, 28.394857)",
8222,United States of America,Pakistan,2014,229,"(69.345116, 30.375321)",
8223,United States of America,Palestinian,2014,140,,
8224,United States of America,Philippines,2014,4,"(121.774017, 12.879721)",
8225,United States of America,Russian Federation,2014,198,,
8226,United States of America,Rwanda,2014,51,"(29.873888, -1.940278)",
8227,United States of America,Saudi Arabia,2014,2,"(45.079162, 23.885942)",
8228,United States of America,Sierra Leone,2014,10,"(-11.779889, 8.460555)",
8229,United States of America,Singapore,2014,3,"(103.819836, 1.352083)",
8230,United States of America,Somalia,2014,10057,"(46.199616, 5.152149)",
8231,United States of America,South Africa,2014,3,"(22.937506, -30.559482)",
8232,United States of America,Sri Lanka,2014,68,"(80.771797, 7.873054)",
8233,United States of America,Sudan,2014,1043,"(30.217636, 12.862807)",
8234,United States of America,Syrian Arab Rep.,2014,271,,
8235,United States of America,Thailand,2014,8,"(100.992541, 15.870032)",
8236,United States of America,The former Yugoslav Rep. of Macedonia,2014,241,,
8237,United States of America,Togo,2014,25,"(0.824782, 8.619543)",
8238,United States of America,Tunisia,2014,2,"(9.537499, 33.886917)",
8239,United States of America,Turkmenistan,2014,2,"(59.556278, 38.969719)",
8240,United States of America,Uganda,2014,22,"(32.290275, 1.373333)",
8241,United States of America,Ukraine,2014,667,"(31.16558, 48.379433)",
8242,United States of America,United Kingdom of Great Britain and Northern Ireland,2014,1,,
8243,United States of America,Uzbekistan,2014,65,"(64.585262, 41.377491)",
8244,United States of America,Viet Nam,2014,80,,
8245,United States of America,Yemen,2014,14,"(48.516388, 15.552727)",
8246,United States of America,Zimbabwe,2014,3,"(29.154857, -19.015438)",
8248,Uruguay,Syrian Arab Rep.,2014,43,,"(-55.765835, -32.522779)"
8254,Australia,Congo,2015,2,,"(133.775136, -25.274398)"
8256,Australia,Dem. Rep. of the Congo,2015,358,,"(133.775136, -25.274398)"
8266,Australia,Iran (Islamic Rep. of),2015,482,,"(133.775136, -25.274398)"
8276,Australia,Myanmar,2015,1397,,"(133.775136, -25.274398)"
8287,Australia,South Sudan,2015,55,,"(133.775136, -25.274398)"
8290,Australia,Syrian Arab Rep.,2015,1502,,"(133.775136, -25.274398)"
8292,Australia,Tibetan,2015,37,,"(133.775136, -25.274398)"
8296,Australia,United Kingdom of Great Britain and Northern Ireland,2015,1,,"(133.775136, -25.274398)"
8297,Australia,United Rep. of Tanzania,2015,22,,"(133.775136, -25.274398)"
8298,Australia,Various/unknown,2015,1,,"(133.775136, -25.274398)"
8299,Australia,Venezuela (Bolivarian Republic of),2015,1,,"(133.775136, -25.274398)"
8303,Austria,Stateless,2015,1,,"(14.550072, 47.516231)"
8304,Austria,Syrian Arab Rep.,2015,756,,"(14.550072, 47.516231)"
8305,Belarus,Syrian Arab Rep.,2015,14,,"(27.953389, 53.709807)"
8306,Belgium,Dem. Rep. of the Congo,2015,88,,"(4.469936, 50.503887)"
8307,Belgium,Syrian Arab Rep.,2015,188,,"(4.469936, 50.503887)"
8308,Cambodia,Iran (Islamic Rep. of),2015,3,,"(104.990963, 12.565679)"
8309,Cambodia,Myanmar,2015,2,,"(104.990963, 12.565679)"
8317,Canada,Brunei Darussalam,2015,1,,"(-106.346771, 56.130366)"
8323,Canada,Central African Rep.,2015,432,,"(-106.346771, 56.130366)"
8327,Canada,Congo,2015,1,,"(-106.346771, 56.130366)"
8330,Canada,Dem. Rep. of the Congo,2015,813,,"(-106.346771, 56.130366)"
8339,Canada,Iran (Islamic Rep. of),2015,420,,"(-106.346771, 56.130366)"
8357,Canada,Myanmar,2015,367,,"(-106.346771, 56.130366)"
8362,Canada,Palestinian,2015,68,,"(-106.346771, 56.130366)"
8364,Canada,Rep. of Moldova,2015,2,,"(-106.346771, 56.130366)"
8365,Canada,Russian Federation,2015,8,,"(-106.346771, 56.130366)"
8373,Canada,South Sudan,2015,40,,"(-106.346771, 56.130366)"
8376,Canada,Stateless,2015,461,,"(-106.346771, 56.130366)"
8379,Canada,Syrian Arab Rep.,2015,7924,,"(-106.346771, 56.130366)"
8386,Canada,United Kingdom of Great Britain and Northern Ireland,2015,2,,"(-106.346771, 56.130366)"
8387,Canada,United Rep. of Tanzania,2015,8,,"(-106.346771, 56.130366)"
8388,Canada,United States of America,2015,3,,"(-106.346771, 56.130366)"
8390,Canada,Various/unknown,2015,6,,"(-106.346771, 56.130366)"
8391,Canada,Viet Nam,2015,16,,"(-106.346771, 56.130366)"
8395,Denmark,Central African Rep.,2015,5,,"(9.501785, 56.26392)"
