,Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
738,Denmark,Dem. Rep. of the Congo,1986,10,,"(9.501785, 56.26392)"
740,Denmark,Iran (Islamic Rep. of),1986,40,,"(9.501785, 56.26392)"
744,Denmark,Palestinian,1986,13,,"(9.501785, 56.26392)"
746,Denmark,Russian Federation,1986,1,,"(9.501785, 56.26392)"
750,Denmark,Various/unknown,1986,118,,"(9.501785, 56.26392)"
751,Denmark,Viet Nam,1986,136,,"(9.501785, 56.26392)"
752,Finland,Various/unknown,1986,124,,"(25.748151, 61.92411)"
753,Netherlands,Various/unknown,1986,370,,"(5.291266, 52.132633)"
755,New Zealand,Lao People's Dem. Rep.,1986,139,,"(174.885971, -40.900557)"
756,New Zealand,Viet Nam,1986,124,,"(174.885971, -40.900557)"
757,Norway,Various/unknown,1986,843,,"(8.468946, 60.472024)"
762,Sweden,Iran (Islamic Rep. of),1986,508,,"(18.643501, 60.128161)"
767,Sweden,Various/unknown,1986,31,,"(18.643501, 60.128161)"
768,Sweden,Viet Nam,1986,171,,"(18.643501, 60.128161)"
769,United Kingdom of Great Britain and Northern Ireland,Various/unknown,1986,833,,
770,United States of America,Afghanistan,1986,2535,"(67.709953, 33.93911)",
771,United States of America,Albania,1986,84,"(20.168331, 41.153332)",
772,United States of America,Angola,1986,3,"(17.873887, -11.202692)",
773,United States of America,Bulgaria,1986,173,"(25.48583, 42.733883)",
774,United States of America,Cambodia,1986,9789,"(104.990963, 12.565679)",
775,United States of America,Cuba,1986,173,"(-77.781167, 21.521757)",
776,United States of America,Czech Rep.,1986,1589,,
777,United States of America,Dem. Rep. of the Congo,1986,4,,
778,United States of America,Ethiopia,1986,1268,"(40.489673, 9.145)",
779,United States of America,Hungary,1986,754,"(19.503304, 47.162494)",
780,United States of America,Iran (Islamic Rep. of),1986,3148,,
781,United States of America,Iraq,1986,307,"(43.679291, 33.223191)",
782,United States of America,Lao People's Dem. Rep.,1986,12869,,
783,United States of America,Mozambique,1986,1,"(35.529562, -18.665695)",
784,United States of America,Namibia,1986,5,"(18.49041, -22.95764)",
785,United States of America,Poland,1986,3735,"(19.145136, 51.919438)",
786,United States of America,Romania,1986,2373,"(24.96676, 45.943161)",
787,United States of America,Russian Federation,1986,787,,
788,United States of America,Serbia and Kosovo: S/RES/1244 (1999),1986,4,,
789,United States of America,South Africa,1986,12,"(22.937506, -30.559482)",
790,United States of America,Syrian Arab Rep.,1986,5,,
791,United States of America,Uganda,1986,12,"(32.290275, 1.373333)",
792,United States of America,Various/unknown,1986,14,,
793,United States of America,Viet Nam,1986,22796,,
794,Australia,Various/unknown,1987,11101,,"(133.775136, -25.274398)"
798,Canada,Czech Rep.,1987,760,,"(-106.346771, 56.130366)"
802,Canada,Iran (Islamic Rep. of),1987,738,,"(-106.346771, 56.130366)"
804,Canada,Lao People's Dem. Rep.,1987,440,,"(-106.346771, 56.130366)"
808,Canada,Russian Federation,1987,104,,"(-106.346771, 56.130366)"
809,Canada,Serbia and Kosovo: S/RES/1244 (1999),1987,5,,"(-106.346771, 56.130366)"
813,Canada,Various/unknown,1987,811,,"(-106.346771, 56.130366)"
814,Canada,Viet Nam,1987,4065,,"(-106.346771, 56.130366)"
817,Denmark,Iran (Islamic Rep. of),1987,78,,"(9.501785, 56.26392)"
820,Denmark,Palestinian,1987,1,,"(9.501785, 56.26392)"
823,Denmark,Various/unknown,1987,15,,"(9.501785, 56.26392)"
824,Denmark,Viet Nam,1987,190,,"(9.501785, 56.26392)"
825,Finland,Various/unknown,1987,294,,"(25.748151, 61.92411)"
826,Japan,Various/unknown,1987,291,,"(138.252924, 36.204824)"
827,Netherlands,Various/unknown,1987,561,,"(5.291266, 52.132633)"
